0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00001	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00030	0.00004	0.00071	0.00041	0.00063	0.00005	0.00025	0.00070	0.00037	0.00058	0.00015	0.00063	0.00081	0.00047	0.00036	0.00072	0.00026	0.00068	0.00017	0.00058	0.00049	0.00027	0.00005	0.00052	0.00061
0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000
-0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000
0.00000	0.00002	0.00002	0.00000	-0.00000	0.00000	0.00003	0.00003	0.00001	-0.00000	0.00003	0.00002	0.00002	0.00003	0.00002	0.00003	0.00001	0.00002	0.00002	0.00004	0.00004	0.00004	0.00003	0.00003	0.00003
-0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000
0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000
0.00003	0.00006	0.00016	0.00004	0.00020	0.00009	0.00020	0.00007	0.00019	0.00007	0.00009	0.00011	0.00019	0.00012	0.00007	0.00018	0.00009	0.00015	0.00010	0.00007	0.00014	0.00008	0.00018	0.00011	0.00015
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000
0.00001	0.00000	-0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00001	0.00001	0.00000	0.00001	0.00000	0.00000	0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00001	0.00001
0.00052	0.00067	0.00015	0.00038	0.00071	0.00055	0.00028	0.00067	0.00065	0.00008	0.00063	0.00045	0.00013	0.00064	0.00053	0.00039	0.00044	0.00006	0.00011	0.00004	0.00002	0.00019	0.00042	0.00027	0.00045
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00012	0.00010	0.00004	0.00004	0.00001	0.00001	0.00011	0.00003	0.00006	0.00006	0.00012	0.00013	0.00014	0.00001	0.00004	0.00003	0.00003	0.00011	0.00008	0.00014	0.00014	0.00002	0.00004	0.00012	0.00006
-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	0.00001	0.00002	-0.00001	0.00001	-0.00001	0.00000	-0.00000	0.00004	0.00000	0.00001	0.00000	-0.00001	0.00001	0.00001	-0.00001	0.00000	-0.00000	0.00002	-0.00000	0.00002	0.00001	0.00003	0.00001
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00004	0.00001	0.00003	0.00002	0.00004	0.00000	0.00004	0.00005	0.00000	0.00001	0.00004	0.00003	0.00001	0.00004	0.00005	0.00002	0.00004	0.00005	0.00003	0.00000	0.00001	0.00001	0.00005	0.00001	0.00001
0.00000	0.00001	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00001	0.00000	0.00000	0.00000	0.00001	0.00001	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00001	0.00000	0.00001	0.00001	0.00001	0.00000	0.00001	0.00002	0.00000	0.00001	0.00000	0.00001	0.00000	0.00001	0.00001	0.00001	0.00002	0.00000	0.00001	0.00001	0.00000	0.00002	0.00002	0.00001
0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00002	0.00001	0.00004	0.00002	0.00004	0.00003	0.00002	0.00002	0.00001	0.00004	0.00000	0.00004	0.00004	0.00004	0.00001	0.00001	0.00001	0.00002	0.00002	0.00001	0.00001	0.00001	0.00004	0.00000	0.00002
0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000
0.00001	0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00001	0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00261	0.00243	0.00236	0.00188	0.00016	0.00103	0.00149	0.00124	0.00026	0.00226	0.00120	0.00108	0.00239	0.00124	0.00161	0.00241	0.00127	0.00061	0.00168	0.00248	0.00100	0.00101	0.00140	0.00076	0.00197
0.00008	0.00010	0.00019	0.00010	0.00004	0.00013	0.00004	0.00011	0.00010	0.00015	0.00005	0.00006	0.00002	0.00009	0.00011	0.00017	0.00018	0.00011	0.00005	0.00012	0.00013	0.00006	0.00011	0.00013	0.00002
0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00001	0.00011	0.00015	0.00009	0.00001	0.00007	0.00000	0.00005	0.00007	0.00013	0.00007	0.00011	0.00004	0.00016	0.00004	0.00005	0.00007	0.00011	0.00002	0.00015	0.00001	0.00014	0.00014	0.00004	0.00012
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00002	0.00003	0.00004	0.00000	0.00005	0.00003	0.00003	0.00002	0.00001	0.00001	0.00003	0.00001	0.00005	0.00002	0.00003	0.00004	0.00002	0.00001	0.00001	0.00000	0.00002	0.00005	0.00002	0.00000	0.00003
0.00110	0.00044	0.00017	0.00064	0.00151	0.00039	0.00087	0.00007	0.00074	0.00101	0.00032	0.00160	0.00140	0.00002	0.00064	0.00017	0.00153	0.00052	0.00082	0.00022	0.00019	0.00112	0.00162	0.00118	0.00127
0.00001	0.00000	0.00001	0.00001	0.00001	0.00000	0.00001	0.00001	0.00000	0.00001	0.00000	0.00001	0.00001	0.00001	0.00000	0.00001	0.00001	0.00000	0.00001	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00008	0.00002	0.00004	0.00005	0.00009	0.00009	0.00008	0.00002	0.00003	0.00001	0.00002	0.00004	0.00003	0.00008	0.00008	0.00004	0.00004	0.00002	0.00009	0.00002	0.00008	0.00005	0.00003	0.00002	0.00001
0.00002	0.00002	0.00000	0.00003	0.00002	0.00000	0.00001	0.00001	0.00000	0.00002	0.00003	0.00001	0.00000	-0.00000	0.00002	0.00000	0.00001	0.00001	0.00001	0.00000	0.00003	0.00001	0.00001	0.00002	0.00000
0.00035	0.00046	0.00064	0.00071	0.00064	0.00074	0.00053	0.00074	0.00042	0.00009	0.00076	0.00027	0.00024	0.00065	0.00016	0.00074	0.00060	0.00051	0.00075	0.00082	0.00066	0.00041	0.00013	0.00015	0.00008
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00022	0.00002	0.00041	0.00018	0.00012	0.00001	0.00021	0.00032	0.00043	0.00023	0.00042	0.00030	0.00041	0.00018	0.00042	0.00002	0.00031	0.00004	0.00027	0.00041	0.00016	0.00010	0.00032	0.00009	0.00026
0.00000	0.00005	0.00006	0.00004	0.00002	0.00005	0.00010	0.00006	0.00009	0.00001	0.00006	0.00006	0.00007	0.00006	0.00006	0.00010	0.00010	0.00005	0.00009	-0.00001	0.00002	-0.00000	0.00000	0.00010	0.00004
0.00005	0.00010	0.00009	0.00009	0.00007	0.00003	0.00004	0.00002	0.00011	0.00010	0.00008	0.00013	0.00012	0.00009	0.00002	0.00003	0.00014	0.00010	0.00001	0.00003	0.00006	0.00011	0.00003	0.00004	0.00012
0.00005	0.00001	0.00010	0.00004	0.00009	0.00004	0.00006	0.00010	0.00009	0.00014	0.00002	0.00004	0.00007	0.00007	0.00013	0.00011	0.00015	0.00013	0.00002	0.00010	0.00014	0.00005	0.00015	0.00008	0.00005
0.00000	0.00007	0.00009	0.00009	0.00004	0.00005	0.00003	0.00009	0.00003	0.00001	0.00002	0.00004	0.00003	0.00005	0.00002	0.00001	0.00006	0.00004	0.00007	0.00006	0.00006	0.00010	0.00007	0.00002	0.00002
0.00000	0.00001	0.00000	0.00001	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00001	0.00000	0.00001	0.00001	0.00000	0.00000	0.00001	0.00000
0.00022	0.00051	0.00110	0.00010	0.00092	0.00106	0.00050	0.00033	0.00048	0.00073	0.00103	0.00048	0.00060	0.00039	0.00049	0.00116	0.00081	0.00105	0.00055	0.00071	0.00031	0.00096	0.00006	0.00072	0.00031
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00024	0.00010	0.00005	0.00003	0.00005	0.00004	0.00012	0.00012	0.00014	0.00023	0.00023	0.00001	0.00020	0.00017	0.00023	0.00005	0.00013	0.00000	-0.00000	0.00017	-0.00000	0.00007	0.00013	0.00002	0.00018
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00001	0.00001	0.00002	0.00002	0.00002	0.00001	0.00002	0.00001	0.00001	0.00001	0.00000	0.00002	0.00001	0.00000	0.00001	0.00002	0.00001	0.00001
0.00000	0.00003	0.00001	0.00004	0.00001	0.00002	0.00001	0.00003	0.00006	-0.00001	0.00001	0.00001	0.00005	-0.00001	0.00001	0.00006	0.00001	0.00005	0.00002	0.00004	0.00003	-0.00001	0.00005	0.00000	0.00003
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00002	0.00002	0.00001	0.00002	0.00002	0.00003	0.00001	0.00003	0.00001	0.00001	0.00002	0.00002	0.00000	0.00004	0.00003	0.00001	0.00001	0.00003	0.00003	0.00003	0.00003	0.00000	0.00001	0.00000	0.00001
0.00020	0.00018	0.00009	0.00006	0.00001	0.00022	0.00011	0.00006	0.00013	0.00013	0.00000	0.00013	0.00017	0.00015	0.00018	0.00011	0.00024	0.00016	0.00014	0.00008	0.00023	0.00006	0.00021	0.00019	0.00007
0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00000	0.00000
0.00004	0.00002	0.00002	0.00003	0.00002	0.00002	0.00002	0.00003	0.00002	0.00002	0.00001	0.00001	0.00000	0.00000	0.00003	0.00002	0.00000	0.00001	0.00000	0.00001	0.00002	0.00002	0.00003	0.00003	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000
0.00000	0.00001	0.00001	0.00002	0.00002	0.00001	0.00000	0.00000	0.00001	0.00001	-0.00000	0.00001	0.00002	0.00000	0.00000	0.00002	0.00001	0.00001	0.00000	0.00002	0.00000	0.00001	0.00000	0.00001	0.00000
0.00007	0.00001	0.00000	0.00006	0.00001	0.00001	0.00005	0.00005	0.00001	0.00006	0.00008	0.00001	0.00003	0.00006	0.00009	0.00007	0.00000	0.00002	0.00005	0.00000	0.00008	0.00004	0.00004	0.00001	-0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00001	0.00001	0.00001	0.00000	0.00001	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00001	0.00001	0.00001	0.00001
0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00111	0.00010	0.00082	0.00004	0.00099	0.00039	0.00088	0.00058	0.00029	0.00064	0.00051	0.00083	0.00041	0.00021	0.00063	0.00007	0.00104	0.00007	0.00032	0.00044	0.00012	0.00106	0.00007	0.00073	0.00035
0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000
0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000
0.00001	0.00001	0.00001	0.00001	0.00000	0.00000	-0.00000	0.00001	0.00000	0.00000	0.00001	0.00000	0.00001	0.00001	0.00000	-0.00000	0.00001	0.00001	0.00000	0.00000	-0.00000	0.00001	0.00000	-0.00000	0.00001
0.00002	0.00005	0.00039	0.00028	0.00043	0.00009	0.00000	0.00017	0.00009	0.00031	0.00022	0.00038	0.00004	0.00023	0.00015	0.00040	0.00007	0.00007	0.00004	0.00041	0.00042	0.00040	0.00025	0.00042	0.00013
0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00001	0.00001	0.00002	0.00001	0.00001	0.00001	0.00002	0.00002	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002	0.00000	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00002	0.00000	0.00001
-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00004	0.00022	0.00004	0.00025	0.00004	0.00010	0.00005	0.00013	0.00012	0.00024	0.00004	0.00000	0.00028	0.00028	0.00009	0.00003	0.00011	0.00015	0.00005	0.00012	0.00029	0.00016	0.00007	0.00016	0.00004
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000
0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	-0.00000	0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00001	0.00001	0.00001	0.00001	0.00001	0.00000	0.00000	0.00000	0.00001	-0.00000	0.00001	-0.00000	0.00001	0.00001	0.00001	0.00000	0.00000	0.00001	0.00000	0.00001	0.00000	0.00001	0.00001	0.00001	0.00001
0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	0.00000	0.00000	-0.00000	-0.00000	-0.00000	-0.00000	0.00000	-0.00000	-0.00000	0.00000	-0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000
0.00758	0.00677	0.01307	0.00711	0.00118	0.00442	0.00566	-0.00031	0.01252	0.00849	0.00087	0.00683	0.00347	0.01015	0.00129	0.00789	0.01134	0.00382	0.00375	0.00793	0.00530	0.01181	0.00369	0.01204	0.00368
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000	-0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00247	0.00108	0.00016	0.00228	0.00105	0.00244	0.00038	0.00209	0.00040	0.00092	0.00134	0.00144	0.00122	0.00053	0.00064	0.00057	0.00104	0.00049	0.00167	0.00075	0.00240	0.00064	0.00047	0.00035	0.00100
